feature,value,precision,recall,f1-score,support,roc_auc_score,accuracy
occupation,Armed-Forces,1.0,1.0,1.0,9.0,1.0,1.0
workclass,Without-pay,1.0,1.0,1.0,14.0,0.0,1.0
workclass,Never-worked,1.0,1.0,1.0,7.0,0.0,1.0
relationship,Own-child,0.991,0.992,0.99,5064.0,0.709,0.992
occupation,Priv-house-serv,0.995,0.986,0.99,147.0,0.993,0.986
relationship,Other-relative,0.977,0.979,0.976,981.0,0.755,0.979
marital_status,Never-married,0.971,0.973,0.969,10667.0,0.737,0.973
marital_status,Separated,0.96,0.962,0.956,1025.0,0.726,0.962
occupation,Other-service,0.968,0.967,0.956,3291.0,0.599,0.967
relationship,Unmarried,0.955,0.958,0.95,3445.0,0.689,0.958
occupation,Handlers-cleaners,0.948,0.953,0.942,1369.0,0.649,0.953
marital_status,Married-spouse-absent,0.942,0.947,0.941,418.0,0.73,0.947
marital_status,Widowed,0.942,0.945,0.935,993.0,0.698,0.945
relationship,Not-in-family,0.932,0.937,0.929,8292.0,0.733,0.937
marital_status,Divorced,0.929,0.933,0.924,4441.0,0.717,0.933
workclass,?,0.921,0.928,0.922,1836.0,0.735,0.928
occupation,?,0.921,0.928,0.922,1843.0,0.735,0.928
occupation,Adm-clerical,0.915,0.912,0.913,3768.0,0.827,0.912
occupation,Farming-fishing,0.913,0.918,0.904,992.0,0.678,0.918
occupation,Machine-op-inspct,0.883,0.895,0.886,2000.0,0.692,0.895
workclass,State-gov,0.876,0.876,0.876,1298.0,0.845,0.876
workclass,Private,0.88,0.871,0.874,22673.0,0.84,0.871
workclass,Local-gov,0.868,0.864,0.865,2093.0,0.848,0.864
occupation,Tech-support,0.863,0.855,0.858,927.0,0.848,0.855
occupation,Sales,0.855,0.847,0.85,3650.0,0.826,0.847
workclass,Federal-gov,0.846,0.841,0.842,960.0,0.842,0.841
occupation,Protective-serv,0.838,0.837,0.837,649.0,0.819,0.837
occupation,Prof-specialty,0.84,0.831,0.832,4136.0,0.837,0.831
workclass,Self-emp-not-inc,0.833,0.837,0.829,2540.0,0.76,0.837
occupation,Transport-moving,0.824,0.83,0.826,1597.0,0.717,0.83
occupation,Exec-managerial,0.822,0.815,0.815,4065.0,0.817,0.815
occupation,Craft-repair,0.824,0.794,0.804,4094.0,0.769,0.794
workclass,Self-emp-inc,0.798,0.795,0.792,1116.0,0.783,0.795
marital_status,Married-AF-spouse,0.797,0.783,0.775,23.0,0.762,0.783
relationship,Wife,0.772,0.768,0.769,1568.0,0.77,0.768
marital_status,Married-civ-spouse,0.772,0.76,0.761,14970.0,0.766,0.76
relationship,Husband,0.77,0.757,0.758,13187.0,0.764,0.757
